Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
0.69231,0,0,0.41026,0.025641,0.84615,0,1,0,0.74359,0
0.79487,0.38462,0,0.33333,0,0,0,0.25,0,1,0
0.5,1,0,0,0,0,0,0,0,0.1,0
1,0.5,0.15,0.05,0.125,0,0,0,0,0.05,0
1,0,0,0.1,0.65,0,0,0,0.05,0,0.6
0.85,0,1,0.3,0,0,0,0,0,0.5,0.725
0,0,0.95,0.4,0.225,0.1,0.1,0,0.375,0,0
0.3,1,0.5,0.75,1,0,0,0,1,0,0.4
0.15,0,0.6,1,0.775,0.097561,0,0.075,1,0,0
0,0,1,0,1,0.02439,0,1,1,0.14634,0
0,0,0.17073,0,0,0,0.02439,1,0.65854,0.4878,0
0,0,0,0,0,0,0.21951,1,0.29268,0.04878,0.60976
0,0.39024,0.56098,0,0,0,0.7561,0.56098,0,0,0
0,1,1,0,0,0.2439,1,0,0.12195,0,0
0,0.12195,1,0,0,0.56098,0,0,0.63415,0.14634,0
0,0,1,0,0,0,0,0,0.04878,0,0
0,0,0.02439,0.4878,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0.42857,0,0,0,0,0,0,0
0.38095,0,0,0.42857,0,0.14286,0,0.42857,1,0,0
0,0,0,0.71429,0,1,0,0,1,0,0.42857
0,0,0,0,0,0.28571,0,0,1,0,0.52381
0,0,0.30952,0.7619,0,0.02381,0,0.47619,0.95238,0,0.61905
0,0,0,1,0.30952,0.02381,0,0,1,0,0.28571
1,0,0,1,0.19048,0,0,0,0.33333,0,0
0.2381,0,0.14286,0.14286,0,0,0,0,0,0.23256,0
0.18605,0,0,0.65116,0,0,0,0,0,0.27907,0
0,0,0.25581,0,0.32558,0,0,0,0,0.51163,0
0,0,0,1,0.44186,0,0,0,0.51163,0,0
0,0,0.093023,0.5814,0.16279,0,0.27907,0.46512,0,0,0
0,0,1,0,0,0,0,0,0,0.2093,0
1,0,0,0,0,0,1,0,0.81395,0.046512,0
0,0,0,0,0,0,0.67442,0,1,0,0
1,0,0,0,0.13953,0,0,0.16279,0.76744,0,0.27907
0,0,0,0,0,0,0,0.13953,0,1,0.81395
0,0,0,0,0,0,0,1,0,0,0.5
0,0.20455,0,0,0,0,0.54545,0.022727,0.31818,0.63636,0.31818
0,0.72727,0,0,0.045455,0,0.045455,0,1,0,1
0,0.27273,0,0,1,0,1,0,1,0.45455,0.79545
0,0,0.045455,0,0.65909,0,0.59091,0,0,0,0.045455
0,0,1,0.045455,0.18182,0,0,0,0,0,0.72727
0,0,0,0,0.86364,0.13636,0,0,0,0,0.86364
0,0,0,0.88636,0.045455,0.77273,0,0,0,0,0.54545
0,0.59091,0,0,0,1,0,0,0,0.045455,0
0,0.18182,0,0,0.43182,0.45455,0,0.36364,0,0,0.18182
0.22727,0,0.45455,0,1,0,0,0.63636,0,0,0
0,0,1,0,1,0.11111,0.46667,0.53333,0,0,0.35556
0,0,1,0.088889,0.22222,0,0.044444,0.26667,0,0,0.17778
0.2,0,1,0,0.26667,0,0.31111,0.55556,0.64444,0,0
0.64444,0,0,0,0,0.8,1,0.4,1,0,0
0,0,0,0,0,0.35556,1,0,0,0.86667,0
0,0,0,0,0,1,1,0,0,0,0.31111
0,0,0,0,0.73333,0.11111,0,0,0,0,0.17778
0,0,0,0.44444,0.73333,0,0.4,0,0,0.2,0.15556
0.42222,0,0.022222,0.6,1,1,0,0,0,1,0.22222
1,0,0,1,0.64444,0,1,0.37778,0,0.93333,0
0,0.26667,0,0,0,0,1,0,0.044444,0,0
0.82222,0,0,0.26667,0.066667,0,1,0,0,0,0
0.022222,0.82222,0,0.64444,1,0,0.44444,0,0.64444,0,0
0.73333,0.73333,0,0,0.33333,0,0,0,1,0,0
0.26667,1,0,0,0,0,0.51111,0,0,1,0
1,0.73913,0.82609,0.17391,0,0.086957,0.13043,0,0,0.82609,0.5
1,1,0.73913,0,0,0,0.086957,0,0,1,0.67391
1,0,1,0,0,0,0.3913,0,0,0,0.8913
1,0,0.82609,0,0.6087,0,0.65217,0,0,0.043478,1
1,0,0.13043,0,1,0,0,0.63043,0,0.34783,1
0,0,0,0,1,0,0.21739,1,0,1,0.26087
0,1,0,0,1,0,0.34783,1,0,0,0.76087
0,0,0.17391,0.21739,0.30435,0.043478,1,0.76087,0.17391,0,0.95652
0,0,0,0.26087,0.69565,0,0.086957,0.63043,0,0.086957,1
1,0,1,0.13043,0,0.13043,0,0,0.43478,0.78261,0.086957
1,0.93478,1,0,0,0,1,0.30435,0,0.86957,0
1,0.82609,1,0,0,0,1,0.6087,0,0,0
1,0,0,0.065217,0.043478,0,0.17391,0,0,0.34783,1
1,0,0.043478,0,0,0,0,0,0,0.6087,1
1,0.30435,0.17391,0,1,0,0.47826,0.3913,1,0,0.91304
1,0.73913,0.56522,0,1,0,0.26087,1,1,0,0
0.47826,1,1,0,1,1,0,0.73913,0.065217,0.80435,0
0,1,0.34783,0,1,1,0.043478,0,0.13043,0.3913,0
0,1,0.26087,0.21739,0,1,0,0.30435,0,0.84783,0
0.52174,1,0,1,0,0.86957,0,0.86957,0,1,0.86957
0,1,0,0.043478,1,0,0.30435,1,0,0,1
0,1,0,0.21739,1,1,0.17391,0.28261,0,0.086957,0.26087
0,0,0,0.43478,1,0,0.82609,0.021739,0.82609,0,0
0.47826,0,0.69565,0.65217,0.3913,0,1,0.32609,0.80435,1,0.69565
0,0,0.95652,0.91304,0.73913,0.91304,1,0.17391,0.91304,1,0
0,1,1,1,0.43478,0,0,0.28261,1,1,0
0,1,0.86957,0.1087,0,0.47826,0,0,1,0.52174,0
0,1,0,0,0,1,0,1,1,1,0
0,1,0,0,0,1,0,1,0.5,0.5,0
0,1,0.1087,0.26087,0,0,0,0,0,0,0.82609
0,0.47826,1,1,0,0.45652,0,0,0,0.76087,0
0.3913,0,0.86957,0,0,0,0.26087,0.086957,0.21739,1,0
0,0,0,1,0,0.34783,0,0,0.19565,0.21739,0
0,0,1,0.34783,0,1,0,0.47826,0,1,0.13043
